rank,Company Name,Industry,State,City,Metro Area,Growth (%),Revenue ($),Number of Workers,Years on List
2662,Blue Tech,Computer Hardware,California,San Diego,San Diego,141.0435,184320227,43,8
3955,WorkSmart,IT Services,North Carolina,Durham,Durham NC,76.5022,7226000,43,8
2886,Edwards Project Solutions,Business Products & Services,Maryland,Elkridge,Baltimore,126.7238,8579062,44,8
4287,House of Antique Hardware,Retail,Oregon,Portland,Portland OR,65.0654,15341439,44,8
4309,Softwriters,Health,Pennsylvania,Allison Park,Pittsburgh PA,64.5984,16977317,48,8
3564,Kelton,Advertising & Marketing,California,Culver City,Los Angeles,91.4152,19888984,50,8
4829,Via Trading,Business Products & Services,California,Lynwood,Los Angeles,47.8399,37569889,50,8
4627,LetterLogic,Business Products & Services,Tennessee,Nashville,Nashville,54.0432,27932820,51,8
3685,IMS ExpertServices,Business Products & Services,Florida,Pensacola,Pensacola-Ferry Pass-Brent FL,86.8865,34688607,54,8
1411,QueBIT,IT Services,New York,Scarsdale,New York City,303.4832,19893669,55,8
3708,TCG,Government Services,District of Columbia,Washington,Washington DC,85.8359,18864304,56,8
4611,Golfballs.com,Retail,Louisiana,Lafayette,Lafayette LA,54.6073,17718000,56,8
3668,Employment Screening Services,Human Resources,Alabama,Birmingham,Birmingham-Hoover AL,87.5169,12393822,58,8
3939,The Online 401(k),Financial Services,California,San Francisco,San Francisco,76.8722,9329968,58,8
4945,Advocate,IT Services,Georgia,Norcross,Atlanta,44.2217,11868000,58,8
3195,Integra Enclosures,Manufacturing,Ohio,Mentor,Cleveland,109.274,9441352,60,8
3856,SaltWorks,Food & Beverage,Washington,Woodinville,Seattle,80.0201,17040178,61,8
4340,352,Advertising & Marketing,Florida,Newberry,Gainesville FL,63.3469,5974881,61,8
4818,Relay Express,Logistics & Transportation,Ohio,Fairfield,Cincinnati,48.1848,22602803,62,8
3266,Finit Solutions,IT Services,Pennsylvania,Media,Philadelphia,105.2058,12161975,63,8
3826,LawLogix Group,Software,Arizona,Phoenix,Phoenix,81.1988,12368651,63,8
2506,BrightStar Care,Health,Illinois,Gurnee,Chicago,151.2174,249062623,65,8
3927,Switchfast Technologies,IT Services,Illinois,Chicago,Chicago,77.2644,6990024,67,8
4702,The Lloyd Group,IT Services,New York,New York,New York City,51.8131,11471000,70,8
2667,Mercom,Government Services,South Carolina,Pawleys Island,Georgetown SC,140.699,111442127,73,8
3809,LifeScript,Advertising & Marketing,California,Mission Viejo,Los Angeles,81.9039,39535000,73,8
4779,Transfinder,Software,New York,Schenectady,Albany-Schenectady-Troy NY,49.3112,8596503,75,8
4881,DiplomaFrame.com,Business Products & Services,Connecticut,Monroe,Bridgeport-Stamford-Norwalk CT,46.385,9073599,75,8
4019,LaSalle Network,Human Resources,Illinois,Chicago,Chicago,74.1652,35579392,76,8
3524,Inter Technologies,Business Products & Services,Indiana,South Bend,South Bend-Mishawaka IN-MI,93.3091,15456586,79,8
4275,Education Management Solutions,Education,Pennsylvania,Exton,Philadelphia,65.579,19379156,79,8
3496,Location3 Media,Advertising & Marketing,Colorado,Denver,Denver,94.4878,33877133,80,8
4512,Amadeus Consulting,Software,Colorado,Boulder,Boulder CO,57.3052,9550000,80,8
4931,Novus Biologicals,Health,Colorado,Littleton,Denver,44.5655,19111214,83,8
4209,New Glarus Brewing,Food & Beverage,Wisconsin,New Glarus,Madison WI,67.8224,36958212,84,8
4992,American Portfolios Financial Services,Financial Services,New York,Holbrook,New York City,42.632,136072408,86,8
3838,Stream Companies,Advertising & Marketing,Pennsylvania,Malvern,Philadelphia,80.7972,30105541,92,8
3963,Customized Energy Solutions,Energy,Pennsylvania,Philadelphia,Philadelphia,76.204,23525000,94,8
2810,Enjoy Life Foods,Food & Beverage,Illinois,Schiller Park,Chicago,131.4402,33089000,99,8
2498,@Properties,Real Estate,Illinois,Chicago,Chicago,152.1948,123882403,100,8
4961,Dennison Lubricants,Manufacturing,Massachusetts,Lakeville,Boston,43.7427,83268997,101,8
3038,M33 Integrated Solutions,Logistics & Transportation,South Carolina,Greenville,Greenville-Mauldin-Easley SC,117.354,38865333,105,8
3753,CJ Pony Parts,Retail,Pennsylvania,Harrisburg,Harrisburg-Carlisle PA,83.9436,38207235,107,8
3176,Centare,Software,Wisconsin,Brookfield,Milwaukee-Waukesha-West Allis WI,110.1292,15386941,110,8
4632,Tiger Correctional Services,Government Services,Arkansas,Jonesboro,Jonesboro AR,53.7452,12914767,115,8
2466,simpleview,Travel & Hospitality,Arizona,Tucson,Tucson AZ,154.9837,20270826,117,8
3424,H&H Shooting Sports Complex,Retail,Oklahoma,Oklahoma City,Oklahoma City OK,97.434,25248079,117,8
2994,Predictive Service,Business Products & Services,Ohio,Cleveland,Cleveland,119.6789,14176921,118,8
2855,Verndale,IT Services,Massachusetts,Boston,Boston,128.9503,13035606,120,8
3235,TiER1 Performance Solutions,Business Products & Services,Kentucky,Covington,Cincinnati,106.9688,13381163,124,8
2776,Navigator Management Partners,IT Services,Ohio,Columbus,Columbus OH,133.6006,32609027,133,8
4445,SchoolWires,Education,Pennsylvania,State College,State College PA,59.7527,17423522,139,8
1460,NGP VAN,Software,District of Columbia,Washington,Washington DC,293.2297,19765613,150,8
2406,Futura Mobility,IT Services,Pennsylvania,Fort Washington,Philadelphia,159.8598,27790087,150,8
4117,Liberty Pumps,Manufacturing,New York,Bergen,Batavia NY,70.763,74620076,154,8
3948,Open Systems Technologies,IT Services,Michigan,Grand Rapids,Grand Rapids-Wyoming MI,76.6685,96954740,156,8
1588,The Select Group,Human Resources,North Carolina,Raleigh,Raleigh-Cary NC,268.1553,64369769,159,8
4443,Shoptech Industrial Software,Software,Connecticut,Glastonbury,Hartford-West Hartford-East Hartford CT,59.7798,25591151,159,8
4837,Net@Work,IT Services,New York,New York,New York City,47.6897,33230467,160,8
3702,Southern Light,Telecommunications,Alabama,Mobile,Mobile AL,85.9408,65427953,167,8
4389,Cosentry,IT Services,Nebraska,Omaha,Omaha-Council Bluffs NE-IA,61.7783,34350290,169,8
4812,Arborwell,Environmental Services,California,Hayward,San Francisco,48.3048,21237568,170,8
2588,Billtrust,Financial Services,New Jersey,Hamilton,Trenton-Ewing NJ,145.1833,61462200,174,8
2946,Bankers Healthcare Group,Financial Services,Florida,Southwest Ranches,Miami,122.535,61332289,177,8
1353,One Technologies,Consumer Products & Services,Texas,Dallas,Dallas,318.1758,249922536,180,8
3203,Treo Solutions,Health,New York,Troy,Albany-Schenectady-Troy NY,108.7255,28873000,180,8
4554,AppRiver,IT Services,Florida,Gulf Breeze,Pensacola-Ferry Pass-Brent FL,56.2359,43596085,193,8
3910,Integrated Resources,Human Resources,New Jersey,Edison,New York City,78.2282,21014828,197,8
2393,AmeriQuest Business Services,Business Products & Services,New Jersey,Cherry Hill,Philadelphia,160.8724,1052691617,199,8
2832,Sage Environmental Consulting,Environmental Services,Texas,Austin,Austin,130.2119,46087769,200,8
3119,XIFIN,Software,California,San Diego,San Diego,113.1431,37744614,200,8
3643,TekLinks,IT Services,Alabama,Birmingham,Birmingham-Hoover AL,88.4134,100759678,200,8
1780,eVestment,Financial Services,Georgia,Marietta,Atlanta,232.9052,56118000,201,8
4911,Codeworks,IT Services,Wisconsin,Brookfield,Milwaukee-Waukesha-West Allis WI,45.3884,26824215,213,8
1811,Mosaic (Renton Washington),Energy,Washington,Renton,Seattle,227.8681,32115634,221,8
2868,Excelsior Defense,Security,Florida,St. Petersburg,Tampa,128.1663,7166609,230,8
4498,NovaCopy,Business Products & Services,Tennessee,Nashville,Nashville,57.7444,49945066,239,8
4747,Etransmedia Technology,Health,New York,Troy,Albany-Schenectady-Troy NY,50.3401,25576160,240,8
2989,Astir IT Solutions,IT Services,New Jersey,South Plainfield,New York City,119.8941,26663803,250,8
4974,Dymax,Manufacturing,Connecticut,Torrington,Torrington CT,43.343,66022420,254,8
3719,Fibertech Networks,Telecommunications,New York,Rochester,Rochester NY,85.4885,169474767,280,8
3490,StarTech.com,Computer Hardware,Ohio,Lockbourne,Columbus OH,94.6381,81797736,282,8
2394,WebRunners,IT Services,Michigan,Southfield,Detroit,160.8717,35063620,300,8
4473,Object Technology Solutions,IT Services,Kansas,Overland Park,Kansas City MO-KS,58.8103,38274260,310,8
1921,Torch Technologies,Government Services,Alabama,Huntsville,Huntsville AL,212.0258,154729586,326,8
3550,ISNetworld,Business Products & Services,Texas,Dallas,Dallas,92.1186,88447803,333,8
3768,HealthHelp,Health,Texas,Houston,Houston,83.351,39570597,335,8
3248,Arrow Strategies,Human Resources,Michigan,Bingham Farms,Detroit,106.3392,45066000,345,8
2154,Bullhorn,Software,Massachusetts,Boston,Boston,184.5484,68081225,350,8
4342,Infinity Consulting Solutions,Human Resources,New York,New York,New York City,63.3404,42190905,350,8
1772,Avella Specialty Pharmacy,Health,Arizona,Phoenix,Phoenix,233.8078,570044305,360,8
3862,V-Soft Consulting Group,IT Services,Kentucky,Louisville,Louisville/Jefferson KY-IN,79.9169,42819953,375,8
4871,Vaco,Human Resources,Tennessee,Brentwood,Nashville,46.6796,191389000,384,8
4919,Carolina Tree Care,Construction,North Carolina,Concord,Charlotte,44.8386,20958635,388,8
4345,MedRisk,Insurance,Pennsylvania,King of Prussia,Philadelphia,63.2623,225130240,396,8
3893,Liquid Web,IT Services,Michigan,Lansing,Lansing-East Lansing MI,78.9542,57110703,400,8
2253,WorkForce Software,Software,Michigan,Livonia,Detroit,173.5378,50366838,425,8
2353,Bluewolf,IT Services,New York,New York,New York City,165.1045,114164000,425,8
1835,Infusionsoft,Software,Arizona,Chandler,,223.7962,56753547,442,8
2207,Digital Insurance,Insurance,Georgia,Atlanta,Atlanta,178.6205,69318000,449,8
3987,Heartland Business Systems,IT Services,Wisconsin,Little Chute,Appleton WI,75.2839,172702015,460,8
3764,Isagenix International,Health,Arizona,Chandler,,83.4224,448143000,475,8
2697,Big Ass Fans,Manufacturing,Kentucky,Lexington,Lexington-Fayette KY,139.0839,119262999,481,8
4831,Batteries Plus Bulbs,Retail,Wisconsin,Hartland,Milwaukee-Waukesha-West Allis WI,47.7971,202145000,505,8
4994,A-T Solutions,Government Services,Virginia,Vienna,Washington DC,42.5531,183339411,529,8
2938,Accuvant,Security,Colorado,Denver,Denver,122.9269,350152337,568,8
2636,Phacil,Government Services,Virginia,Arlington,Washington DC,142.5801,84125005,600,8
3508,Teoco,Telecommunications,Virginia,Fairfax,Washington DC,93.9248,122538000,644,8
4777,Neudesic,IT Services,California,Irvine,Los Angeles,49.4226,80389351,650,8
2041,Account Control Technology,Financial Services,California,Woodland Hills,Los Angeles,198.1208,78786048,704,8
2455,TMOne,Business Products & Services,Iowa,Iowa City,Iowa City IA,155.9462,20339310,726,8
4222,Granite Telecommunications,Telecommunications,Massachusetts,Quincy,Boston,67.4515,865828000,1041,8
2648,TalentBurst,IT Services,Massachusetts,Framingham,Boston,141.6187,51798499,1125,8
4282,CyraCom,Business Products & Services,Arizona,Tucson,Tucson AZ,65.3712,61828000,1130,8
1206,Digital Management,IT Services,Maryland,Bethesda,Washington DC,361.4144,263912441,1500,8
4349,Hyland Software,Software,Ohio,Westlake,Cleveland,63.2214,274811000,1613,8
4730,Icon Information Consultants,IT Services,Texas,Houston,Houston,50.9076,189536095,1956,8
4267,Defender Direct,Security,Indiana,Indianapolis,Indianapolis IN,65.7193,424548000,2061,8
2920,Addison Search,Human Resources,Illinois,Chicago,Chicago,124.4481,166322933,2091,8
4735,First Hospitality Group,Travel & Hospitality,Illinois,Rosemont,Chicago,50.7826,268239275,2495,8
2587,LEGACY Supply Chain Services,Logistics & Transportation,New Hampshire,Portsmouth,Boston,145.2085,343314075,2700,8
4064,eClinicalWorks,Health,Massachusetts,Westborough,Worcester MA,72.8345,269745626,3100,8
4045,Pyramid Consulting,IT Services,Georgia,Alpharetta,Atlanta,73.3468,160595551,3422,8
3894,Program Productions,Media,Illinois,Lombard,Chicago,78.941,27813130,4400,8
2096,Goodman Networks,Telecommunications,Texas,Plano,Dallas,190.8177,931745000,5000,8
4152,Sutherland Global Services,Business Products & Services,New York,Pittsford,Rochester NY,69.6839,771259000,30000,8
2188,LabConnect,Health,Washington,Seattle,Seattle,181.3748,12878653,,7
4472,Enviro-Safe Consulting,Environmental Services,Wisconsin,Germantown,Milwaukee-Waukesha-West Allis WI,58.8284,3850000,11,7
2480,Taradel,Advertising & Marketing,Virginia,Glen Allen,Richmond VA,153.8672,6795205,18,7
4630,Blinc,Consumer Products & Services,Florida,Boca Raton,Miami,53.8823,6363107,18,7
1697,Late July Organic Snacks,Food & Beverage,Massachusetts,Barnstable,Barnstable Town MA,247.5778,28923437,20,7
2563,MyOTCStore.com,Retail,New York,East Elmhurst,New York City,146.9244,39808971,20,7
4363,National Ultrasound,Health,Georgia,Duluth,Atlanta,62.759,11468000,22,7
4959,Meeting Alliance,Business Products & Services,New Jersey,Robbinsville,Trenton-Ewing NJ,43.8017,40641253,22,7
4520,Antennas Direct,Consumer Products & Services,Missouri,Ellisville,St. Louis MO-IL,57.0459,12802855,25,7
3787,Quest Products,Consumer Products & Services,Illinois,Gurnee,Chicago,82.5232,16927143,26,7
4547,Highland Forwarding,Logistics & Transportation,New Hampshire,Londonderry,Boston,56.3411,16797190,26,7
4594,Questline,Energy,Ohio,Columbus,Columbus OH,55.0221,4756149,26,7
4645,Daymark Solutions,IT Services,Massachusetts,Lexington,Boston,53.4774,38133000,27,7
4814,West Physics Consulting,Health,Georgia,Atlanta,Atlanta,48.2597,5266655,27,7
4772,ONLC Training Centers,Education,Delaware,Wilmington,Philadelphia,49.5919,19193147,28,7
2882,ClearStar,Human Resources,Georgia,Alpharetta,Atlanta,127.2235,7793851,29,7
3041,Amotec,Human Resources,Ohio,Cleveland,Cleveland,117.1687,9123255,30,7
4183,PepperDash Technology,Software,Massachusetts,Allston,Boston,68.6281,3911470,31,7
4260,CETRA Language Solutions,Business Products & Services,Pennsylvania,Elkins Park,Philadelphia,66.01,6320000,31,7
4353,Steadfast Networks,IT Services,Illinois,Chicago,Chicago,63.113,12036583,32,7
4483,Transnational Foods,Food & Beverage,Florida,Miami,Miami,58.28,81385135,32,7
4653,ACFN Franchised,Financial Services,California,San Jose,San Jose,53.3696,14286525,32,7
3552,Smart Destinations,Travel & Hospitality,Massachusetts,Boston,Boston,91.9889,40301598,33,7
4200,Online Rewards,Business Products & Services,Texas,Dallas,Dallas,68.1816,17850116,35,7
4453,corporate united,Business Products & Services,Ohio,Westlake,Cleveland,59.4071,9514831,35,7
4908,ALL 4,Environmental Services,Pennsylvania,Kimberton,Philadelphia,45.4784,4975682,35,7
4998,Sensis,Advertising & Marketing,California,Los Angeles,Los Angeles,42.519,11078000,35,7
3674,Protingent,Human Resources,Washington,Redmond,Seattle,87.3752,30411000,37,7
3848,Candle Warmers Etc.,Consumer Products & Services,Utah,Woods Cross,Ogden-Clearfield UT,80.178,11565988,38,7
4571,Kee Safety,Manufacturing,New York,Buffalo,Buffalo-Niagara Falls NY,55.7339,16044047,42,7
4751,National Trade Supply,Retail,Indiana,Greenwood,Indianapolis IN,50.2779,38058095,42,7
3878,MCAD Technologies,Business Products & Services,Colorado,Lakewood,Denver,79.3747,17586581,43,7
3242,Attack!,Advertising & Marketing,California,San Francisco,Los Angeles,106.6793,16610595,44,7
3835,Therapy Source,Health,Pennsylvania,Plymouth Meeting,Philadelphia,81.0166,20015000,45,7
2371,iNET Interactive,Media,Ohio,West Chester,Cincinnati,163.1206,13951715,46,7
3316,Keen,Health,Oregon,Portland,Portland OR,101.9166,6970531,48,7
3361,Wireless Emporium,Telecommunications,California,Orange,Los Angeles,99.7314,11755500,48,7
4328,Sentry Communications & Security,Security,New York,Hicksville,New York City,63.8273,6657891,48,7
4534,Pinckney Hugo Group,Advertising & Marketing,New York,Syracuse,Syracuse NY,56.8713,15705856,48,7
4060,Professional Capital Services,Financial Services,Pennsylvania,Philadelphia,Philadelphia,72.9558,8646753,50,7
4022,interRel Consulting Partners,Business Products & Services,Texas,Arlington,Dallas,74.0576,12030940,51,7
4934,Dynamic Language,Business Products & Services,Washington,Seattle,Seattle,44.416,9830277,51,7
4327,Temporary Housing Directory,Real Estate,Texas,Plano,Denver,63.8679,54352059,52,7
4659,IT Solutions Consulting,IT Services,Pennsylvania,Fort Washington,Philadelphia,53.0497,10467968,52,7
4001,National Electronic Attachment,Health,Georgia,Norcross,Atlanta,74.7859,11542980,55,7
4208,Callis Communications,Telecommunications,Alabama,Mobile,Mobile AL,67.8542,11407553,55,7
4924,a2z,Software,Maryland,Columbia,Baltimore,44.7238,5973350,55,7
2805,PowerON Services,Computer Hardware,California,Roseville,Sacramento--Arden-Arcade--Roseville CA,131.6481,24463339,57,7
3992,Benko Products,Manufacturing,Ohio,Sheffield Village,Cleveland,75.002,8901387,57,7
2635,Insight Sourcing Group,Business Products & Services,Georgia,Atlanta,Atlanta,142.6129,14230513,59,7
2601,Axis Group,IT Services,New Jersey,Berkeley Heights,New York City,144.3539,14119475,61,7
3837,ZAP Engineering & Construction Services,Engineering,Colorado,Lakewood,Denver,80.8704,25129294,62,7
4118,Send Word Now,Telecommunications,New York,New York,New York City,70.7313,19308000,65,7
3933,Intertech,IT Services,Minnesota,Eagan,Minneapolis,77.0611,13517420,67,7
4648,Vigon International,Manufacturing,Pennsylvania,East Stroudsburg,East Stroudsburg PA,53.4528,85358525,67,7
3634,Xcentric,IT Services,Georgia,Alpharetta,Atlanta,88.6276,9001439,68,7
4461,Commdex Consulting,Telecommunications,Georgia,Norcross,Atlanta,59.0656,18248000,68,7
4229,ClassBook.com,Education,New York,Castleton,Albany-Schenectady-Troy NY,67.1427,12047971,71,7
4352,PMMC,Health,North Carolina,Charlotte,Charlotte,63.1263,10308792,73,7
4593,ISite Design,Advertising & Marketing,Oregon,Portland,Portland OR,55.0654,10791077,75,7
2492,The FruitGuys,Food & Beverage,California,South San Francisco,San Francisco,152.4624,18482000,80,7
4736,Natural Way,Consumer Products & Services,Michigan,Lake Orion,Detroit,50.7831,7185767,80,7
4784,Computer Aided Technology,Business Products & Services,Illinois,Buffalo Grove,Chicago,49.1888,26206481,80,7
3732,Safe Systems,IT Services,Georgia,Alpharetta,Atlanta,84.6908,13770681,81,7
4655,Alpha Imaging,Health,Ohio,Willoughby,Cleveland,53.2471,62659819,82,7
4737,Genesis Today,Food & Beverage,Texas,Austin,Austin,50.7576,60174319,82,7
2138,Truenorthlogic,Software,Utah,Sandy,Salt Lake City,186.3896,10318317,85,7
4212,Fortis Construction,Construction,Oregon,Portland,Portland OR,67.7759,249046391,85,7
4450,Saratoga Technologies,IT Services,Tennessee,Johnson City,Johnson City TN,59.5525,11890177,85,7
3897,EMS Software by DEA,Software,Colorado,Centennial,Denver,78.9133,17788954,86,7
4675,International Sourcing Company,Business Products & Services,Tennessee,Memphis,Memphis TN-MS-AR,52.581,71340780,87,7
1843,Metanexgen,Health,Pennsylvania,Blue Bell,Philadelphia,222.8848,27119881,88,7
3014,Dogtopia,Consumer Products & Services,Virginia,Tysons Corner,Washington DC,118.4166,5623900,88,7
4960,Clarity Consulting,IT Services,Illinois,Chicago,Chicago,43.7777,16080417,88,7
4765,Cell Business Equipment,Business Products & Services,California,Irvine,Los Angeles,49.799,25191343,89,7
3779,One Call Now,Telecommunications,Ohio,Troy,Greenville OH,82.8977,13517708,90,7
1506,SADA Systems,IT Services,California,North Hollywood,Los Angeles,284.7055,28404617,91,7
4524,Next Generation Wireless,Telecommunications,Iowa,Cedar Falls,Waterloo-Cedar Falls IA,57.0158,24497596,91,7
2799,Radius (Annapolis MD),Business Products & Services,Maryland,Annapolis,Baltimore,132.0485,34675000,94,7
3749,Innovative-IDM,Manufacturing,Texas,Carrollton,Dallas,84.2352,27323365,94,7
2634,Spectrio,Advertising & Marketing,Florida,Oldsmar,Tampa,142.6868,17762616,95,7
1351,AgileThought,Software,Florida,Tampa,Tampa,318.7711,20808566,96,7
3517,LaunchSquad,Advertising & Marketing,California,San Francisco,San Francisco,93.5471,11341307,96,7
4089,Forte Payment Systems,Financial Services,Texas,Allen,Dallas,71.8469,51150969,96,7
4540,Sonoma Partners,IT Services,Illinois,Chicago,Chicago,56.5331,18047324,96,7
4858,deciBel Research,Government Services,Alabama,Huntsville,Huntsville AL,47.0745,21566019,96,7
3127,Celerant Technology,Software,New York,Staten Island,New York City,112.7915,21443000,98,7
3294,Fishbowl Inventory,Software,Utah,Orem,Provo-Orem UT,103.0283,15562570,98,7
2227,ArcaTech Systems,Financial Services,North Carolina,Mebane,Burlington NC,176.0366,60235465,102,7
4661,Droisys,IT Services,California,Santa Clara,San Jose,52.9963,11011506,102,7
2657,InterWorks,IT Services,Oklahoma,Stillwater,Stillwater OK,141.2521,21279452,105,7
3831,Accelera Solutions,IT Services,Virginia,Fairfax,Washington DC,81.1043,41822030,108,7
3576,Stoltenberg Consulting,IT Services,Pennsylvania,Bethel Park,Pittsburgh PA,91.0984,20036441,109,7
1734,ClickAway,Computer Hardware,California,Campbell,San Jose,240.6525,20390274,110,7
3960,CPO Commerce,Retail,California,Pasadena,Los Angeles,76.241,78602869,110,7
2153,Bridges Consulting,Government Services,Maryland,Annapolis Junction,Baltimore,184.6234,32709345,113,7
3738,Infinity Systems Engineering,Government Services,Colorado,Colorado Springs,Colorado Springs CO,84.6222,25374561,115,7
1817,Innovim,Government Services,Maryland,Greenbelt,Washington DC,227.2516,14622009,120,7
3113,ShoppersChoice.com,Consumer Products & Services,Louisiana,Baton Rouge,Baton Rouge LA,113.5357,50737118,120,7
4526,Underground Printing,Consumer Products & Services,Michigan,Ann Arbor,Ann Arbor MI,56.9926,13757271,120,7
3287,Fisher/Unitech,Manufacturing,Michigan,Troy,Detroit,103.7382,43695178,121,7
4703,Elastec,Manufacturing,Illinois,Carmi,,51.7957,23593889,123,7
1954,Sentek Global,Government Services,California,San Diego,San Diego,207.6577,28712813,124,7
2269,Tarte,Retail,New York,New York,New York City,172.052,67645092,125,7
3216,Contingent Network Services,IT Services,Ohio,West Chester,Cincinnati,108.0086,33269919,125,7
4308,Innovative Office Solutions,Business Products & Services,Minnesota,Burnsville,Minneapolis,64.6105,54054620,125,7
3580,Netvision Resources,IT Services,Virginia,Chantilly,Washington DC,91.0229,17369807,129,7
4738,Journal Multimedia,Media,Pennsylvania,Harrisburg,Harrisburg-Carlisle PA,50.624,20155000,132,7
4088,MetroStar Systems,IT Services,Virginia,Reston,Washington DC,71.8799,24823250,134,7
3381,Salem Printing,Manufacturing,North Carolina,Winston Salem,Winston-Salem NC,99.1067,27638000,137,7
1186,Stroll,Education,Pennsylvania,Philadelphia,Philadelphia,369.7878,77717000,140,7
